[(12.5, 11.3), (2.0, 12.0), (18.7, 16.2), (12.5, 7)]
[(12, -10), (10, -6), (2, -2), (12, -6)]
[(10, -6), (2, -2), (12, -6), (12, -10)]
[(2, -10), (8, -4), (2, -2), (12, -2)]
[(8, -4), (2, -2), (12, -2), (2, -10)]
[(12, -2), (2, -10), (8, -4), (2, -2)]
[(2, -2), (12, -2), (2, -10), (8, -4)]
[(12, -4), (12, -8), (10, -4), (2, -2)]
[(1, 6), (1, 8), (8, 8), (8, 4)]
[(8, 4), (1, 6), (1, 8), (8, 8)]
[(8, 4), (1, 6), (3, 7), (2, 6)]
[(8, 6), (1, 6), (1, 8), (8, 8)]
[(1, 6), (8, 6), (6, 4), (8, 2)]
[(1, 6), (8, 16), (6, 4), (8, 2)]
[(1, 6), (8, 10), (7.5, 6.1), (2, 6)]
[(1, 6), (8, 10), (6.1, 6.9), (8, 4)]
[(1, 6), (8, 10), (8, 4), (4, 6)]
[(1, 6), (8, 10), (8, 8), (6, 4)]
[(4, 4), (8, 10), (6, 6), (8, 4)]
[(2, 8), (10, 6), (2, 2), (8, 6)]
[(2, 8), (10, 4), (2, 6), (4, 6)]
[(2, 6), (4, 8), (2, 10), (10, 10)]
[(6, 8), (10, 4), (2, 10), (10, 10)]
[(8, 6), (6, 6), (2, 10), (10, 10)]
[(5, 6), (7, 3), (1, 7), (7, 7)]
[(5, 6), (4, 6), (1, 7), (7, 7)]
[(1, 4), (3, 6), (1, 7), (7, 7)]
[(6, 6), (1, 7), (7, 7), (7, 4)]
[(3, 4), (1, 7), (7, 7), (4, 4)]
[(5, 3), (1, 7), (7, 7), (5, 5)]
[(5, 3), (-6, 12), (7, 7), (0, 8)]
[(5, 3), (-6, 12), (7, 7), (6, 4)]
[(7, 2), (-6, 12), (7, 7), (4, 6)]
[(-4, 6), (-6, 12), (7, 7), (6, 6)]
[(8, 8), (8, 2), (6, 8), (-6, 12)]
[(8, 8), (8, 2), (2, 2), (-6, 12)]
[(8, 8), (2, 8), (8, 2), (-6, 12)]
[(8, 8), (6, 2), (2, 4), (-6, 12)]
[(16, -8), (2, -6), (2, -4), (10, -4)]
[(16, -8), (2, -6), (4, -4), (6, -4)]
[(16, -8), (2, -6), (16, -2), (10, -6)]
[(16, -8), (2, -6), (2, -2), (10, -6)]
[(16, -8), (2, -6), (14, -2), (10, -6)]
[(16, -8), (2, -6), (8, -2), (14, -6)]
[(10, -6), (16, -8), (2, -6), (16, -2)]
[(10, -6), (16, -8), (2, -6), (14, -2)]
[(16, -6), (16, -8), (2, -6), (3, -4)]
[(2, -2), (12, -8), (2, -6), (8, -6)]
[(6, -2), (12, -8), (2, -6), (6, -6)]
[(8, -2), (12, -8), (2, -6), (4, -4)]
[(10, -6), (10, -2), (12, -8), (2, -6)]
[(10, -6), (12, -2), (12, -8), (2, -6)]
[(2, -2), (4, -6), (12, -8), (2, -6)]
[(12, -2), (4, -6), (12, -8), (2, -6)]
[(8, -2), (6, -6), (12, -8), (2, -6)]
[(-10, -10), (-5, -5), (16, -8), (17, -12)]
[(-10, -10), (17, -5), (10, -10), (17, -12)]
[(-10, -10), (0, -10), (-10, -5), (17, -12)]
[(-10, -10), (-5, -5), (5, -5), (17, -12)]
[(-10, -10), (10, -10), (5, -5), (17, -12)]
[(5, 15), (15, 21), (20, 10), (14, 16)]
[(15, 21), (20, 10), (14, 16), (5, 15)]
[(20, 10), (14, 16), (5, 15), (15, 21)]
[(14, 16), (5, 15), (15, 21), (20, 10)]
[(5, 15), (15, 21), (20, 10), (10, 8)]
[(5, 15), (10, 16), (20, 10), (16, 4)]
[(5, 15), (10, 16), (16, 10), (16, 4)]
[(16, 10), (14, 2), (6, 10), (8, 16)]
[(10, 4), (6, 10), (10, 8), (16, 10)]
[(8, 8), (16, 10), (8, 6), (6, 10)]
[(6, 10), (10, 6), (20, 10), (8, 2)]
[(18, 10), (16, 2), (6, 10), (12, 6)]
[(8, -10), (14, -12), (6, -14), (4, -6)]
[(14, -12), (6, -14), (4, -6), (8, -12)]
[(14, -12), (8, -12), (4, -6), (10, -6)]
[(4, -6), (12, -4), (14, -12), (6, -8)]
[(12, -4), (14, -12), (8, -6), (4, -6)]
